Gene	Value
ENSG00000268903	0.12784896853621
ENSG00000269981	0.108689786171283
ENSG00000225630	0.507251713797878
ENSG00000228794	-0.13325206798468
ENSG00000187961	0.268350028590869
ENSG00000187608	-0.237387547611723
ENSG00000131591	-0.158606131767691
ENSG00000186827	0.467655451185648
ENSG00000176022	0.0800507715574825
ENSG00000184163	-0.162030213354113
ENSG00000160087	-0.0203760701638034
ENSG00000242485	-0.162870152213476
ENSG00000225905	-0.212295320747567
ENSG00000205116	-0.00130764856509607
ENSG00000225285	0.0110355860214761
ENSG00000179403	0.29096599954782
ENSG00000160075	-0.0567961469232964
ENSG00000215014	0.140047497207752
ENSG00000272106	-0.188916813570872
ENSG00000189339	0.0491445377904918
ENSG00000269737	0.0383689704240136
ENSG00000008130	0.107457333895551
ENSG00000078369	-0.0784714368045361
ENSG00000231050	0.0187459814197863
ENSG00000067606	0.0505658735133258
ENSG00000157911	-0.116189761850687
ENSG00000149527	0.0663361260578498
ENSG00000224387	0.338466620513603
ENSG00000229393	0.334594860405248
ENSG00000157881	0.146490496111964
ENSG00000238164	0.250883817066186
ENSG00000157873	0.332349165769398
ENSG00000272088	0.0922854219452696
ENSG00000238260	0.114377923466687
ENSG00000227372	-0.0102903030776353
ENSG00000235169	0.218977782824708
ENSG00000130764	-0.0630986756522074
ENSG00000097021	-0.34523537573893
ENSG00000162408	-0.0109313914983064
ENSG00000116273	0.066380193611489
ENSG00000041988	0.0115862955756494
ENSG00000007923	-0.00338265904229552
ENSG00000237436	-0.261785450798478
ENSG00000237402	-0.0345257081253845
ENSG00000270171	-0.252898984698604
ENSG00000269978	-0.30788186922715
ENSG00000269925	-0.00610119304760225
ENSG00000049246	-0.120817455618942
ENSG00000116288	-0.0350481070526761
ENSG00000116285	0.0236756640994494
ENSG00000162426	-0.0601685163919001
ENSG00000142599	-0.0958343884467005
ENSG00000074800	-0.0799886077501067
ENSG00000142583	0.226348179647236
ENSG00000049239	0.0653698824505669
ENSG00000284652	-0.045355486050603
ENSG00000284693	0.0607193553477356
ENSG00000171612	-0.171171629038794
ENSG00000231181	0.338175509708962
ENSG00000188807	0.0535132780968567
ENSG00000171608	0.162489597433641
ENSG00000171603	-0.08016787390931
ENSG00000178585	-0.135451951588699
ENSG00000162441	-0.0436714111925121
ENSG00000130939	-0.0225262589642813
ENSG00000284735	-0.17935782599067
ENSG00000284642	-0.396775211847608
ENSG00000142655	-0.0835645500490707
ENSG00000009724	0.0471760247299186
ENSG00000116649	0.00997582809976088
ENSG00000171824	-0.0646320907907937
ENSG00000198793	0.0331024415932793
ENSG00000120942	-0.0325141470031757
ENSG00000284646	-0.199792957965221
ENSG00000116663	0.0218904554106687
ENSG00000116670	0.0271046814146262
ENSG00000162490	-0.202329594701248
ENSG00000177000	-0.086653860150702
ENSG00000011021	-0.12049280341322
ENSG00000116685	0.0335788661450025
ENSG00000083444	0.0696542678944681
ENSG00000028137	0.352567238041612
ENSG00000048707	-0.0313258538590492
ENSG00000162493	-0.112492056329911
ENSG00000116731	0.0306082438110175
ENSG00000189337	-0.0182311082856581
ENSG00000171729	-0.0806866084729149
ENSG00000142634	0.022658333668685
ENSG00000162458	0.111773809419302
ENSG00000179743	-0.156642847661515
ENSG00000065526	0.0290402817290936
ENSG00000116809	0.0349980034539979
ENSG00000183888	0.659197324233278
ENSG00000173641	0.239515781344486
ENSG00000232456	0.180444498702446
ENSG00000185519	0.198423394111669
ENSG00000142627	0.28271671833138
ENSG00000142632	0.153214033667339
ENSG00000288398	0.0251835498553764
ENSG00000261135	-0.115065305788542
ENSG00000219481	0.511948793332366
ENSG00000238142	0.0940872753409415
ENSG00000117115	-0.071038775601788
ENSG00000179051	-0.000533183957346389
ENSG00000117154	-0.0440093456689152
ENSG00000272084	-0.0788510430571145
ENSG00000127481	0.151386691661763
ENSG00000127463	-0.0687426255743922
ENSG00000053372	-0.152664399948378
ENSG00000211454	-0.236284454945027
ENSG00000053371	0.0538897832361973
ENSG00000040487	-0.0399651901029238
ENSG00000173436	0.00860741746969175
ENSG00000236963	-0.1805843868212
ENSG00000289402	-0.203438937400907
ENSG00000090432	0.00353096960313087
ENSG00000183114	-0.198800570529976
ENSG00000158825	0.150180321768038
ENSG00000117242	-0.0159907950422063
ENSG00000127483	0.0976477170164944
ENSG00000075151	-0.00442543976465989
ENSG00000117298	0.126860188834551
ENSG00000142794	-0.0420951877007051
ENSG00000162551	0.191918355266244
ENSG00000090686	0.0704598248065377
ENSG00000142798	0.305535582616778
ENSG00000070831	-0.0454910169183966
ENSG00000162552	-0.0971556539706188
ENSG00000173372	0.581162561986777
ENSG00000159189	0.702878922123193
ENSG00000173369	0.800245732571339
ENSG00000133216	0.041190707617092
ENSG00000169641	-0.113266870974171
ENSG00000125945	-0.114950572688531
ENSG00000249087	-0.0846106664255124
ENSG00000204219	-0.096431466128537
ENSG00000088280	-0.210451871822129
ENSG00000117318	0.254759637309692
ENSG00000057757	-0.0910570870977498
ENSG00000011009	-0.0380124228110126
ENSG00000117305	-0.04800726590338
ENSG00000189266	0.0045832490302687
ENSG00000001460	0.114526704706874
ENSG00000117602	-0.00275162421535224
ENSG00000020633	0.0456337183562332
ENSG00000233419	-0.295846217095933
ENSG00000117614	0.0112397107033621
ENSG00000284602	0.30796276455029
ENSG00000117616	0.396831593800614
ENSG00000204178	-0.0535424840746889
ENSG00000157978	0.0135674775639214
ENSG00000117640	0.0243127510562463
ENSG00000117632	-0.0145464412762794
ENSG00000229786	-0.116719452103097
ENSG00000158006	0.0205183269985808
ENSG00000158008	0.0818188067786638
ENSG00000197245	0.115356112643366
ENSG00000130695	0.00850827668553561
ENSG00000270733	-0.0964331858467564
ENSG00000169442	0.141280313776962
ENSG00000198830	-0.0827804097576913
ENSG00000117676	0.238611620343033
ENSG00000260063	-0.104882518892749
ENSG00000117713	0.0139716157081811
ENSG00000060642	-0.0383748007472682
ENSG00000204160	-0.106488908599675
ENSG00000175793	0.0619237624421898
ENSG00000090273	-0.0167699085457277
ENSG00000090020	-0.0766249429442168
ENSG00000142784	0.0500901893615429
ENSG00000186501	-0.140877486080747
ENSG00000142733	0.223310005942583
ENSG00000142748	0.200449217167086
ENSG00000181773	-0.378201580905282
ENSG00000126705	-0.0288088574132222
ENSG00000000938	0.391116129132441
ENSG00000126709	-0.347615488192891
ENSG00000270031	0.0757615069811573
ENSG00000117751	-0.0588417582690187
ENSG00000130775	0.20643551018873
ENSG00000117748	-0.0825100581213018
ENSG00000158156	0.210615643054523
ENSG00000169403	0.170036160671972
ENSG00000130766	-0.0972266012801286
ENSG00000180198	0.111023208058493
ENSG00000242125	0.0721017232630411
ENSG00000120656	0.0180354743653201
ENSG00000198492	-0.0574105991154098
ENSG00000116353	-0.115022971562622
ENSG00000060656	-0.049886261177286
