Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory  Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
CSICR_0001.tsv	0.01647318891970446	0.00410338655302749	0.00000000000000000	0.00000000000000000	0.03053449431597743	0.14768944914101839	0.03577114303897003	0.00000000000000000	0.00000000000000000	0.01867735731709579	0.00996624312872395	0.00483182707612640	0.41054335763320959	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00316568268219739	0.00352273419038786	0.02993859188269994	0.00000000000000000	0.00000000000000000	0.28478254412086124	0.00000000000000000	0.84437184699013934	0.58076479245652268
CSICR_0008.tsv	0.00000000000000000	0.00009603023374539	0.00234961735755738	0.03067761026642714	0.06555317400194219	0.06174236940917991	0.01127228862421518	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03190688772622959	0.09678300280673996	0.00000000000000000	0.00000000000000000	0.00045995879925135	0.00000000000000000	0.00203314988630023	0.00968033225195250	0.00000000000000000	0.00000000000000000	0.68744557863645905	0.00000000000000000	0.86165429829810958	0.51224737923311758
CSICR_0011.tsv	0.01165224727200340	0.03152791291313586	0.00899948473083241	0.14519538412502256	0.02412995008407089	0.03353925135194846	0.07056658476060770	0.00525617282910621	0.00000000000000000	0.00650874737165485	0.04296545701271912	0.05222104199133960	0.21927659259754922	0.00000000000000000	0.00000000000000000	0.00667602750604457	0.00034766257314885	0.00000000000000000	0.01913426936215336	0.00000000000000000	0.00000000000000000	0.32200321351866312	0.00000000000000000	0.85424770288181040	0.58713650640947901
CSICR_0012.tsv	0.02254596447066623	0.00000000000000000	0.00085948990489078	0.05992135652515248	0.03238895650535615	0.14146955370612829	0.01811825482439794	0.00000000000000000	0.00000000000000000	0.06123113286330700	0.00000000000000000	0.15916464779033412	0.29075752194152510	0.00000000000000000	0.00000000000000000	0.00101550046086743	0.00000000000000000	0.00114257618696668	0.00000000000000000	0.00167661601612708	0.00000000000000000	0.20970842880428073	0.00000000000000000	0.84316206135367511	0.60031296112434329
CSICR_0013.tsv	0.03078140170572466	0.00000000000000000	0.00000000000000000	0.03918130665247277	0.00394091048346650	0.22224298062594838	0.01642725935789468	0.00000000000000000	0.00000000000000000	0.03005265028115620	0.00000000000000000	0.04121934337624385	0.26203749247636482	0.00000000000000000	0.00000000000000000	0.00057843121468309	0.00000000000000000	0.00199706074843562	0.01414032466044224	0.00000000000000000	0.00000000000000000	0.33740083841716734	0.00000000000000000	0.84686669264857495	0.58156596534810578
CSICR_0015.tsv	0.01333182347657626	0.00366099533515654	0.00000000000000000	0.03854354671153485	0.01722959867890786	0.15176717867865350	0.01729319748093252	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02272501798604070	0.05830416681397222	0.32368881659140120	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00406881474530371	0.00743328425249121	0.00000000000000000	0.00000000000000000	0.34195355924902959	0.00000000000000000	0.85398095943217223	0.56388326883499940
CSICR_0017.tsv	0.01628822628022026	0.00075891714748703	0.00000000000000000	0.09026296581462244	0.04179977894805845	0.18136809289977243	0.02325494858736571	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07901811551562088	0.24259517736202366	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00108902835830954	0.00350865532434607	0.00151299500231764	0.00000000000000000	0.00000000000000000	0.31854309875985598	0.00000000000000000	0.82066704062650164	0.61269734745700788
CSICR_0018.tsv	0.01218472075175446	0.00203437885885776	0.00005118660673575	0.05188489917377999	0.05216873902145418	0.12305214158517239	0.02034552551682918	0.00000000000000000	0.00000000000000000	0.01688216004834129	0.00000000000000000	0.02626881248909746	0.11332701532596878	0.00000000000000000	0.00000000000000000	0.00101517317409010	0.00000000000000000	0.00116296822614991	0.00000000000000000	0.00562560187282291	0.00000000000000000	0.57399667734894588	0.00000000000000000	0.84873161004282160	0.53550517811873632
CSICR_0026.tsv	0.01403778611428176	0.00000000000000000	0.00114598942618721	0.00588763214265952	0.00085765727783866	0.03922687664880455	0.00850133319980118	0.00000000000000000	0.00000000000000000	0.02429261446157597	0.00000000000000000	0.02176560919373647	0.40391033207120636	0.00194014503267887	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00351350570031278	0.00000000000000000	0.00194869365980539	0.00000000000000000	0.47297182507111124	0.00000000000000000	0.82654829721031098	0.56388129975315193
CSICR_0030.tsv	0.05558078590657973	0.00000000000000000	0.00661630861056977	0.05172952266730928	0.06639716936739083	0.14078264967073045	0.02524331213624980	0.00000000000000000	0.00000000000000000	0.03384753042372093	0.00000000000000000	0.06265459829652065	0.23199370460326699	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00437650565773335	0.01207039017787750	0.00811810208625452	0.00000000000000000	0.00000000000000000	0.30058942039579639	0.00000000000000000	0.84825524820618536	0.59730958875537088
CSICR_0031.tsv	0.03104181908378723	0.00000000000000000	0.00000000000000000	0.07696442417173474	0.05845984370627685	0.16143768324984845	0.01437477826359197	0.00000000000000000	0.00000000000000000	0.03118649148387773	0.00000000000000000	0.07342751985002666	0.29503997146678751	0.00000000000000000	0.00000000000000000	0.00435013148497099	0.00000000000000000	0.00256483750789673	0.00000000000000000	0.00424097042767611	0.00000000000000000	0.24691152930352506	0.00000000000000000	0.84105719217281494	0.60672053574855878
CSICR_0033.tsv	0.00808373698682437	0.00000000000000000	0.00546101160059033	0.03816087118052301	0.00000000000000000	0.22624230945795096	0.01516139492435520	0.00000000000000000	0.00000000000000000	0.06111716459653775	0.00000000000000000	0.12127371478065538	0.34481066765176360	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00321857371571212	0.00000000000000000	0.00692452491343927	0.00000000000000000	0.16954603019164805	0.00000000000000000	0.80494519656627417	0.64401216195323419
CSICR_0035.tsv	0.03943129510074431	0.00041774684329272	0.00367319025523625	0.09767907764874399	0.00000000000000000	0.16854687067863655	0.04355369840502674	0.00000000000000000	0.00000000000000000	0.00432524590339981	0.00000000000000000	0.07955541752663164	0.37299694002812495	0.00534716661642942	0.00000000000000000	0.00000000000000000	0.00662682350944399	0.01051242443837345	0.00065477691913197	0.00000000000000000	0.00000000000000000	0.16667932612678441	0.00000000000000000	0.77307535872536681	0.67874309899705909
CSICR_0039.tsv	0.01082202300744149	0.00000000000000000	0.00397207560166639	0.01433609090491841	0.02705773913147972	0.16279825531765943	0.03508731842399986	0.00000000000000000	0.00000000000000000	0.03464439192502079	0.00000000000000000	0.04833247736882181	0.37807318846357280	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00329400762647611	0.00000000000000000	0.00370146287020495	0.00000000000000000	0.27788096935873829	0.00000000000000000	0.83838023761294256	0.59174497555988304
CSICR_0040.tsv	0.02448623174729996	0.00455641907288011	0.00168974804115346	0.09156556010267197	0.00000000000000000	0.16663655647168432	0.01207609234054617	0.00000000000000000	0.00000000000000000	0.01947371360752341	0.00555454993491877	0.09041694192639746	0.35193188532483588	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00194603423596597	0.00796702282969882	0.00000000000000000	0.00000000000000000	0.22169924436442381	0.00000000000000000	0.82021624907055091	0.62513025145768353
