	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000283183	LOC105374338	-0.0317125615699533	0.00280181516996914	-2.62468493452114	0.00888758624616353	0.0217189888913897	-3.37557429274516	uncharacterized LOC105374338
ENSG00000064652	SNX24	-0.0229567760953902	0.00318627864267716	-2.62346443445528	0.00891913229995501	0.0217895418665668	-3.37870463776701	sorting nexin 24
ENSG00000243649	CFB	0.118067246210329	-0.000505212150139108	2.62288393834427	0.00893417143317892	0.0218197380279587	-3.3801929977489	complement factor B
ENSG00000279838	NA	-0.0502640380312721	0.0114215167381233	-2.62245213157266	0.00894537313638379	0.0218405468212967	-3.38129991761916	NA
ENSG00000246695	RASSF8-AS1	-0.0296196384416459	0.00404166706801766	-2.62202674088119	0.00895642069049277	0.0218609668936361	-3.3823902158898	RASSF8 antisense RNA 1
ENSG00000214575	CPEB1	-0.0338296305945905	0.00428916305553541	-2.62147945574042	0.00897065185419377	0.0218891430055148	-3.38379268156568	cytoplasmic polyadenylation element binding protein 1
ENSG00000215039	CD27-AS1	-0.0271053152734529	0.00575103549889048	-2.61994425448349	0.00901068009274248	0.0219802304149109	-3.38772524043531	CD27 antisense RNA 1
ENSG00000231991	NA	0.0727265827408559	-0.0100425155986704	2.61933031971524	0.00902673228953348	0.0220127947599552	-3.38929726020898	NA
ENSG00000149418	ST14	-0.0684098817993071	0.00487393889882379	-2.61876023035451	0.00904166100038304	0.0220416773110448	-3.39075668843216	ST14 transmembrane serine protease matriptase
ENSG00000165716	DIPK1B	-0.0478936896419864	0.00891045764064305	-2.61863396946752	0.00904497033329455	0.0220416773110448	-3.39107987417019	divergent protein kinase domain 1B
ENSG00000205363	INSYN1	-0.0442759187136971	0.00312845126234579	-2.61856820119717	0.00904669456732018	0.0220416773110448	-3.39124821296074	inhibitory synaptic factor 1
ENSG00000166479	TMX3	0.0167342397560955	-0.00239393727119542	2.61678487557628	0.00909355994924877	0.0221492361802127	-3.39581119207217	thioredoxin related transmembrane protein 3
ENSG00000280374	NA	-0.091430841159567	-0.00662603658816763	-2.61641605817167	0.00910327945571705	0.0221624583674215	-3.39675450251917	NA
ENSG00000235552	RPL6P27	0.0574531813128907	-0.0155577121033994	2.61637240724235	0.00910443041097513	0.0221624583674215	-3.3968661382604	ribosomal protein L6 pseudogene 27
ENSG00000170458	CD14	0.127194653038678	0.00743105085072054	2.616019407058	0.00911374284326388	0.0221784987924662	-3.39776885710553	CD14 molecule
ENSG00000105647	PIK3R2	-0.0237801900239295	0.0016482925303594	-2.61555303743902	0.00912605912306772	0.0222018373827319	-3.39896131025496	phosphoinositide-3-kinase regulatory subunit 2
ENSG00000272861	NA	-0.0764119900245745	-0.00864076011450877	-2.61527643368067	0.00913337094145407	0.0222129908385021	-3.39966845584761	NA
ENSG00000285122	PIGY-DT	-0.0491847167619706	-0.007365317630481	-2.6145737477733	0.00915196951000639	0.0222515795997021	-3.40146456405429	PIGY divergent transcript
ENSG00000264456	NA	-0.064303572799745	0.00180338653911502	-2.61353104904303	0.0091796299334434	0.0223121712348244	-3.40412889612049	NA
ENSG00000143493	INTS7	-0.0192625436604384	0.000708773411313574	-2.61241981425482	0.00920919077544965	0.0223740152138338	-3.40696720948542	integrator complex subunit 7
ENSG00000276550	NA	-0.0942898343800326	0.00856617948704764	-2.61236813566364	0.00921056758894839	0.0223740152138338	-3.4070991781033	NA
ENSG00000269028	NA	0.125121047282191	-0.0202182358210501	2.61195711684391	0.00922152445091193	0.022388316339226	-3.40814868210916	NA
ENSG00000233264	NA	0.0561536546618294	0.00388190854093315	2.61194107679958	0.00922195227969347	0.022388316339226	-3.40818963581824	NA
ENSG00000181026	AEN	0.05786491494057	0.000222052731408524	2.61006883594039	0.00927201187432097	0.0225031396651801	-3.41296818278469	apoptosis enhancing nuclease
ENSG00000225140	DIP2C-AS2	-0.0762251297737581	-0.00412982778290564	-2.60686512780705	0.00935823603927289	0.0227056397199516	-3.42113728009619	DIP2C antisense RNA 2
ENSG00000168002	POLR2G	-0.0253987655039811	-0.00274136605765729	-2.6065190200439	0.00936759392370819	0.0227215760895185	-3.42201922891273	RNA polymerase II subunit G
ENSG00000143543	JTB	-0.0201215770034932	-0.00381188446691765	-2.60618249808468	0.00937670065508334	0.0227368939671491	-3.42287664146072	jumping translocation breakpoint
ENSG00000159055	MIS18A	-0.0249480062558102	-0.000663664029393143	-2.60495808177972	0.00940990183120916	0.0228106102426186	-3.42599537542357	MIS18 kinetochore protein A
ENSG00000103245	CIAO3	-0.0313952483143816	0.00433509225336139	-2.60481556744949	0.00941377306032484	0.0228132048724623	-3.42635828325331	cytosolic iron-sulfur assembly component 3
ENSG00000240065	PSMB9	0.0675782427336106	-0.0079426469930831	2.6043608293	0.00942613499461532	0.0228343995520248	-3.4275161284501	proteasome 20S subunit beta 9
ENSG00000262576	PCDHGA4	-0.0707766952426391	-0.00355453460824357	-2.60428764192475	0.00942812592921538	0.0228343995520248	-3.42770245821412	protocadherin gamma subfamily A, 4
ENSG00000054116	TRAPPC3	0.0195837652758978	-0.00578102277859055	2.60237649236124	0.00948024869526571	0.0229538126108618	-3.43256629390299	trafficking protein particle complex subunit 3
ENSG00000174804	FZD4	0.0849527647910191	-0.000574289084398575	2.60174404867921	0.00949755397254775	0.0229888787834774	-3.43417508083525	frizzled class receptor 4
ENSG00000240395	RPL5P23	0.0991163077200385	-0.0165216835644339	2.60138075207841	0.00950750746244667	0.0230061343676851	-3.4350990484048	ribosomal protein L5 pseudogene 23
ENSG00000173065	FAM222B	-0.0192823202761938	0.00437409605672527	-2.59956981414622	0.00955726221917983	0.0231196616499019	-3.43970290120268	family with sequence similarity 222 member B
ENSG00000173409	ARV1	-0.0384707613033511	0.00104408577321686	-2.59925436689932	0.00956595276137804	0.0231338139077863	-3.44050452556578	ARV1 fatty acid homeostasis modulator
ENSG00000089289	IGBP1	-0.0265485353924401	-0.00046100250650618	-2.59900098185851	0.00957293861048993	0.0231438364447731	-3.44114836661063	immunoglobulin binding protein 1
ENSG00000289288	NA	0.0555489025732034	-0.00752417655032869	2.59792785361142	0.00960257543346364	0.0232085984882971	-3.44387446110465	NA
ENSG00000272894	NA	-0.0427372817776795	0.0102022117804276	-2.59735714232044	0.00961837027395855	0.0232398771525934	-3.4453238047205	NA
ENSG00000112977	DAP	0.0260337833067035	-0.00165814467470252	2.59692104099938	0.00963045533360938	0.0232621763618767	-3.44643109113533	death associated protein
ENSG00000156097	GPR61	-0.035484166787551	0.0101853642263987	-2.59633492056425	0.00964671903557531	0.0232945527852834	-3.44791899827572	G protein-coupled receptor 61
ENSG00000171148	TADA3	-0.0288303149407401	-0.00124603386259044	-2.59421646327936	0.00970570697697196	0.0234237639663423	-3.45329410872051	transcriptional adaptor 3
ENSG00000237758	NA	0.0951271917153406	0.00419922718302651	2.59420670120214	0.00970597954406448	0.0234237639663423	-3.45331886786929	NA
ENSG00000122481	RWDD3	-0.0376682775173854	-0.00285498433047595	-2.59343672576173	0.00972749959513044	0.0234661385483739	-3.45527143734917	RWD domain containing 3
ENSG00000271660	NA	-0.0847302958611439	0.016888425192619	-2.59337237124412	0.00972930016916618	0.0234661385483739	-3.45543460735759	NA
ENSG00000183978	COA3	-0.0325557037755161	-0.000179794449302977	-2.59236247104472	0.00975759517981943	0.0235274164415717	-3.45799467689055	cytochrome c oxidase assembly factor 3
ENSG00000272269	NA	0.0468593488209358	-0.00087986283225897	2.59214786298018	0.00976361745201826	0.0235349701529117	-3.45853857683893	NA
ENSG00000086848	ALG9	-0.0185993357160632	0.00560464777558001	-2.59175101024918	0.0097747625719361	0.0235548642450945	-3.45954423931782	ALG9 alpha-1,2-mannosyltransferase
ENSG00000175581	MRPL48	-0.0259316009756651	0.00269056391943739	-2.59110632361621	0.00979289203118239	0.0235915721957943	-3.46117761534097	mitochondrial ribosomal protein L48
ENSG00000122705	CLTA	-0.030034065370424	0.00744876710211216	-2.59090311218334	0.00979861283438195	0.0235983741975284	-3.46169238879515	clathrin light chain A
ENSG00000269902	NA	0.0754024071524618	0.00472310832194554	2.58998552799706	0.00982448183345307	0.023653681505609	-3.46401631338134	NA
ENSG00000173083	HPSE	-0.0635504179942984	0.00648149938292739	-2.58962127319346	0.0098347679935828	0.0236714495590224	-3.46493862201548	heparanase
ENSG00000126432	PRDX5	-0.0302240689402061	-0.000222341611188305	-2.58624262717966	0.00993063667058097	0.0238951360950907	-3.47348744974076	peroxiredoxin 5
ENSG00000104381	GDAP1	-0.0241760083989698	0.00175598958243406	-2.58573160177551	0.00994520938644395	0.0239231336245086	-3.47477952248396	ganglioside induced differentiation associated protein 1
ENSG00000157654	PALM2AKAP2	0.0369521990085618	0.000918323907895347	2.58482321220858	0.00997116073254467	0.023978477758068	-3.47707567110257	PALM2 and AKAP2 fusion
ENSG00000010704	HFE	-0.0442404847271939	0.000366815677022184	-2.58432648239474	0.00998537712639956	0.0240019589564368	-3.47833092797585	homeostatic iron regulator
