	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000116288	PARK7	0.00586226280529628	-0.0064124007876839	0.687057685437863	0.492304373848044	0.585973860147935	-6.52799517868937	Parkinsonism associated deglycase
ENSG00000177374	HIC1	0.0117143506545972	0.00186173857729212	0.686313037727848	0.492773398242734	0.586438467810879	-6.52850022544501	HIC ZBTB transcriptional repressor 1
ENSG00000118816	CCNI	0.00933589318937507	-0.00639275981543443	0.686209371829668	0.492838712359173	0.586438467810879	-6.52857049200883	cyclin I
ENSG00000186187	ZNRF1	-0.00461137580975231	0.00447846592691394	-0.685988533821955	0.492977865609378	0.586518363334558	-6.52872014454742	zinc and ring finger 1
ENSG00000243364	EFNA4	0.0129558097944585	-0.00708130619084181	0.685482483293591	0.493296814997989	0.586812115986362	-6.52906289211987	ephrin A4
ENSG00000279568	NA	0.0167635057493508	0.00665218607392962	0.685190877684045	0.493480656097981	0.586945085268408	-6.52926028164704	NA
ENSG00000185298	CCDC137	-0.00513273729716841	-0.00238543814252838	-0.684641667033999	0.493827002661138	0.587271271233022	-6.52963181781775	coiled-coil domain containing 137
ENSG00000169871	TRIM56	0.010956354596284	-0.00403047739116682	0.684407077690528	0.493974980559129	0.587361491482352	-6.52979042477883	tripartite motif containing 56
ENSG00000287089	NA	0.0205369010577956	0.00656513713364451	0.683456170940175	0.494575051763634	0.587989168970194	-6.5304327814543	NA
ENSG00000288924	NA	0.0200882312302797	-0.00784075305163931	0.683226150220345	0.494720265360354	0.588075972177478	-6.53058803114371	NA
ENSG00000100380	ST13	-0.00658860017904567	-0.005657826430486	-0.682987436460301	0.494870991084549	0.588169301383868	-6.53074909292087	ST13 Hsp70 interacting protein
ENSG00000173894	CBX2	-0.0117291267391451	-0.00556047770812368	-0.682856240037575	0.494953840000468	0.588181941465394	-6.530837588098	chromobox 2
ENSG00000273524	NA	-0.0240948163614809	0.0106406812569564	-0.681936541115816	0.495534827010921	0.588786457476872	-6.53145747080096	NA
ENSG00000216901	ZNF603P	0.0334366229122206	-0.019442180561133	0.681149721689157	0.496032161703195	0.589246106135467	-6.53198712981536	zinc finger protein 603, pseudogene
ENSG00000286194	NA	-0.00838683886048274	0.00460763398812485	-0.681095623785884	0.496066365840503	0.589246106135467	-6.53202352417868	NA
ENSG00000047578	KATNIP	-0.0024825658935339	0.00150452538869814	-0.680863827314557	0.496212936602319	0.589334261975195	-6.53217943257269	katanin interacting protein
ENSG00000162980	ARL5A	0.00838691691166038	-0.00557062095961407	0.680074163118089	0.496712434986366	0.589841490445247	-6.53271017007927	ARF like GTPase 5A
ENSG00000287670	LOC105374852	-0.00683966886880217	0.00205509046256268	-0.679788545291807	0.496893167344887	0.589970094464155	-6.53290198389718	uncharacterized LOC105374852
ENSG00000144029	MRPS5	0.00559248300033893	-2.88800128103309e-05	0.679593743730202	0.497016453418581	0.590030463940292	-6.53303276162565	mitochondrial ribosomal protein S5
ENSG00000135069	PSAT1	0.00975473798837621	-0.0115101110044891	0.679051728443775	0.497359570180461	0.59035174863303	-6.53339644025849	phosphoserine aminotransferase 1
ENSG00000240747	KRABD1	-0.0126022499868523	0.00203985195123241	-0.677391569514803	0.498411301750935	0.591513922885235	-6.53450856237781	KRAB domain containing 1
ENSG00000235513	NA	-0.00815478247296941	0.00959649079927907	-0.675300455031497	0.499737734461895	0.59300172598953	-6.53590550869666	NA
ENSG00000136068	FLNB	-0.0118364506463126	0.00804456117423147	-0.673869728486406	0.500646351954154	0.593912032749183	-6.53685880529302	filamin B
ENSG00000103994	ZNF106	-0.00844888588433616	-0.0075175279622952	-0.673817953571277	0.500679249318873	0.593912032749183	-6.53689326519519	zinc finger protein 106
ENSG00000289268	NA	0.0185733625906882	-0.0142214182230782	0.673748115951385	0.500723625400693	0.593912032749183	-6.53693974292859	NA
ENSG00000070371	CLTCL1	0.0071728550731051	0.00539500234873252	0.6736199947595	0.500805041348026	0.593922111499661	-6.53702499653757	clathrin heavy chain like 1
ENSG00000272515	NA	-0.0171657001328642	-0.0117952900689812	-0.673224966811771	0.501056110245302	0.59413335535711	-6.53728775167591	NA
ENSG00000265241	RBM8A	-0.00728643827070718	-0.00576412720575848	-0.673050589481748	0.501166960945004	0.594178296491566	-6.53740369080836	RNA binding motif protein 8A
ENSG00000170191	NANP	0.00669225548386473	-0.000600409061644443	0.671598409790548	0.502090609115052	0.595186728459045	-6.53836804402412	N-acetylneuraminic acid phosphatase
ENSG00000267980	NA	0.0173919069717492	0.00976397770342633	0.670892139776601	0.502540153052563	0.595632937516462	-6.53883630706288	NA
ENSG00000159433	STARD9	0.00951479742842119	0.00431792333361184	0.670523798622744	0.502774688416475	0.595824216084998	-6.53908032519269	StAR related lipid transfer domain containing 9
