"","level","Overall","NO","YES","p","test"
"n","","   866","   433","   433","",""
"Sex (%)","HOMBRE","   337 (38.9) ","   172 (39.7) ","   165 (38.1) "," 0.6758125947812761",""
"","MUJER","   529 (61.1) ","   261 (60.3) ","   268 (61.9) ","",""
"Age (median [IQR])",""," 54.00 [45.00, 61.00]"," 53.00 [45.00, 59.00]"," 55.00 [45.00, 64.00]"," 0.0028678831295295","nonnorm"
"Score10items (median [IQR])","","100.00 [82.00, 100.00]","100.00 [80.00, 100.00]","100.00 [88.00, 100.00]"," 0.0329829031373627","nonnorm"
"Item11 (median [IQR])","","  1.00 [1.00, 2.00]","  1.00 [1.00, 2.00]","  1.00 [1.00, 2.00]"," 0.0001727131177189","nonnorm"
"Item12 (median [IQR])","","  2.00 [1.00, 3.00]","  2.00 [1.00, 3.00]","  1.00 [1.00, 3.00]"," 0.0238914923072899","nonnorm"
