ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_NUCLEOSOME_ORGANIZATION GOBP_NUCLEOSOME_ORGANIZATION 15/33 117/11149 0.128205128205128 43.3139083139083 25.0686026083434 7.24099709472035e-22 5.52948869051372e-21 3.1874245584415e-21 ENSG00000124635/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 15
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC 17/33 208/11149 0.0817307692307692 27.6126165501166 21.1092068613311 1.86650589828783e-21 1.30655412880148e-20 7.53151502817895e-21 ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000203811/ENSG00000203852/ENSG00000273213/ENSG00000274997/ENSG00000275221/ENSG00000276903/ENSG00000277075/ENSG00000278463/ENSG00000278677/ENSG00000288825/ENSG00000288859 17
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE 13/33 74/11149 0.175675675675676 59.3517608517609 27.4396861314405 8.26003136823452e-21 5.33725103793615e-20 3.07661087399828e-20 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION 17/33 289/11149 0.0588235294117647 19.873440285205 17.7119452482761 5.41909781560105e-19 3.25145868936063e-18 1.87427443246352e-18 ENSG00000181218/ENSG00000183598/ENSG00000184260/ENSG00000184270/ENSG00000196787/ENSG00000196866/ENSG00000203811/ENSG00000203852/ENSG00000273213/ENSG00000274997/ENSG00000275221/ENSG00000276903/ENSG00000277075/ENSG00000278463/ENSG00000278677/ENSG00000288825/ENSG00000288859 17
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION 15/33 197/11149 0.0761421319796954 25.7245039224735 19.0763447742783 2.34567900094904e-18 1.31358024053146e-17 7.57201642411621e-18 ENSG00000124635/ENSG00000180596/ENSG00000181218/ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000270276/ENSG00000270882/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 15
GOBP_HUMORAL_IMMUNE_RESPONSE GOBP_HUMORAL_IMMUNE_RESPONSE 13/33 139/11149 0.0935251798561151 31.5973403095705 19.7778281231035 4.60598888930731e-17 2.41814416688634e-16 1.39391769018511e-16 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM GOBP_DEFENSE_RESPONSE_TO_BACTERIUM 13/33 183/11149 0.0710382513661202 24.0001655903295 17.0928140385782 1.76045995728881e-15 8.69874331836824e-15 5.01431319103934e-15 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOCC_CHROMOSOME_CENTROMERIC_CORE_DOMAIN GOCC_CHROMOSOME_CENTROMERIC_CORE_DOMAIN 6/33 19/11149 0.315789473684211 106.688995215311 25.1211876897044 1.09802732166542e-11 5.12412750110529e-11 2.95375770740405e-11 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000277075/ENSG00000278463 6
GOBP_RESPONSE_TO_BACTERIUM GOBP_RESPONSE_TO_BACTERIUM 13/33 431/11149 0.0301624129930394 10.1903255290726 10.6021473147448 1.0192064600779e-10 4.50596540244965e-10 2.59742366557248e-10 ENSG00000124635/ENSG00000158373/ENSG00000180596/ENSG00000196890/ENSG00000197903/ENSG00000203814/ENSG00000273703/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276410/ENSG00000277224/ENSG00000278588 13
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM 7/33 68/11149 0.102941176470588 34.7785204991087 15.2225280628717 8.62049930918006e-10 3.62060970985562e-09 2.08706825380149e-09 ENSG00000124635/ENSG00000180596/ENSG00000197903/ENSG00000273802/ENSG00000274290/ENSG00000277224/ENSG00000278588 7
GOBP_PROTEIN_LOCALIZATION_TO_CENP_A_CONTAINING_CHROMATIN GOBP_PROTEIN_LOCALIZATION_TO_CENP_A_CONTAINING_CHROMATIN 5/33 17/11149 0.294117647058824 99.3672014260249 22.1141045517428 9.9857527545392e-10 3.99430110181568e-09 2.3024793318737e-09 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000277075/ENSG00000278463 5
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION 5/33 36/11149 0.138888888888889 46.9234006734007 15.0366404311911 5.84603354028897e-08 2.23212189720124e-07 1.28668680791049e-07 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000277075/ENSG00000278463 5
GOBP_PROTEIN_LOCALIZATION_TO_CHROMATIN GOBP_PROTEIN_LOCALIZATION_TO_CHROMATIN 5/33 57/11149 0.087719298245614 29.6358320042531 11.8092817478838 6.2131888733467e-07 2.26916463200488e-06 1.30803976280983e-06 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000277075/ENSG00000278463 5
GOMF_NUCLEOSOMAL_DNA_BINDING GOMF_NUCLEOSOMAL_DNA_BINDING 4/33 47/11149 0.0851063829787234 28.7530625402966 10.3882026401518 1.03715242869588e-05 3.63003350043557e-05 2.09250051403554e-05 ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000273213 4
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME 5/33 106/11149 0.0471698113207547 15.9362492853059 8.41844988357193 1.35684135703388e-05 4.55898695963384e-05 2.62798747046562e-05 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000277075/ENSG00000278463 5
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION 6/33 228/11149 0.0263157894736842 8.89074960127592 6.55897027804752 4.77698931527894e-05 0.000154333500955166 8.89641734829276e-05 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000277075/ENSG00000278463 6
GOCC_CHROMOSOMAL_REGION GOCC_CHROMOSOMAL_REGION 7/33 358/11149 0.0195530726256983 6.60597596072456 5.87412358112644 6.89116520800422e-05 0.000214391806471242 0.000123584249344325 ENSG00000124635/ENSG00000270276/ENSG00000270882/ENSG00000273213/ENSG00000276410/ENSG00000277075/ENSG00000278463 7
GOMF_NUCLEOSOME_BINDING GOMF_NUCLEOSOME_BINDING 4/33 78/11149 0.0512820512820513 17.3255633255633 7.88321248466042 7.77588653849819e-05 0.000233276596154946 0.000134470218334931 ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000273213 4
GOMF_CHROMATIN_DNA_BINDING GOMF_CHROMATIN_DNA_BINDING 4/33 108/11149 0.037037037037037 12.5129068462402 6.55049085100374 0.000274459689860555 0.000794986687871953 0.000458263003033958 ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000273213 4
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION 2/33 19/11149 0.105263157894737 35.5629984051037 8.21526941650572 0.00140781130971389 0.00394187166719889 0.00227225685076627 ENSG00000270276/ENSG00000270882 2
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION 2/33 33/11149 0.0606060606060606 20.475665748393 6.1045856877624 0.00423587783531654 0.0114778625215029 0.00661631172918712 ENSG00000270276/ENSG00000270882 2
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM 2/33 41/11149 0.0487804878048781 16.480413895048 5.41050424141463 0.00648206191781659 0.0170154125342686 0.00980838316511721 ENSG00000124635/ENSG00000197903 2
GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM 2/33 52/11149 0.0384615384615385 12.9941724941725 4.72335241543565 0.0102717218585872 0.0261462010945855 0.0150717449918664 ENSG00000124635/ENSG00000197903 2
GOCC_CHROMOSOME_TELOMERIC_REGION GOCC_CHROMOSOME_TELOMERIC_REGION 3/33 161/11149 0.0186335403726708 6.2953133822699 3.68745272171646 0.0117412246540647 0.0290077314982774 0.0167212487333428 ENSG00000270276/ENSG00000270882/ENSG00000276410 3
GOBP_MEGAKARYOCYTE_DIFFERENTIATION GOBP_MEGAKARYOCYTE_DIFFERENTIATION 2/33 62/11149 0.032258064516129 10.8983382209189 4.25826113984785 0.0143815673215906 0.0345157615718173 0.0198963036629524 ENSG00000270276/ENSG00000270882 2
