setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	146	-0.392419941278863	-1.83692071707427	3.14053299186802e-05	0.0123964540994802	0.0117437355276885	665	tags=35%, list=18%, signal=30%	ENSG00000162430/ENSG00000108819/ENSG00000130766/ENSG00000174233/ENSG00000181856/ENSG00000069431/ENSG00000079215/ENSG00000160691/ENSG00000196924/ENSG00000004799/ENSG00000024048/ENSG00000124253/ENSG00000159346/ENSG00000118507/ENSG00000170345/ENSG00000100600/ENSG00000242252/ENSG00000239282/ENSG00000148730/ENSG00000103319/ENSG00000130513/ENSG00000087460/ENSG00000105409/ENSG00000114166/ENSG00000145708/ENSG00000150551/ENSG00000225697/ENSG00000108840/ENSG00000140443/ENSG00000160999/ENSG00000169860/ENSG00000169047/ENSG00000188906/ENSG00000138794/ENSG00000136869/ENSG00000136044/ENSG00000123358/ENSG00000116285/ENSG00000173175/ENSG00000185122/ENSG00000159899/ENSG00000136826/ENSG00000106070/ENSG00000169676/ENSG00000119508/ENSG00000101204/ENSG00000143630/ENSG00000130529/ENSG00000099822/ENSG00000153234/ENSG00000170145
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	270	-0.332098540819128	-1.66714120557966	3.37919696567924e-05	0.0123964540994802	0.0117437355276885	753	tags=34%, list=20%, signal=30%	ENSG00000070404/ENSG00000004478/ENSG00000172819/ENSG00000130304/ENSG00000104332/ENSG00000113721/ENSG00000121068/ENSG00000168646/ENSG00000163909/ENSG00000132793/ENSG00000179094/ENSG00000094631/ENSG00000185043/ENSG00000102119/ENSG00000160310/ENSG00000196843/ENSG00000162430/ENSG00000108819/ENSG00000204388/ENSG00000166831/ENSG00000162772/ENSG00000140526/ENSG00000174233/ENSG00000181856/ENSG00000106211/ENSG00000116478/ENSG00000010704/ENSG00000160691/ENSG00000068971/ENSG00000004799/ENSG00000168477/ENSG00000124253/ENSG00000120129/ENSG00000159346/ENSG00000166986/ENSG00000125931/ENSG00000170345/ENSG00000100600/ENSG00000242252/ENSG00000134250/ENSG00000178607/ENSG00000163328/ENSG00000143171/ENSG00000033867/ENSG00000148730/ENSG00000103319/ENSG00000108389/ENSG00000130513/ENSG00000006128/ENSG00000166033/ENSG00000087460/ENSG00000174576/ENSG00000242265/ENSG00000142871/ENSG00000125740/ENSG00000204389/ENSG00000105409/ENSG00000114166/ENSG00000145708/ENSG00000134313/ENSG00000096384/ENSG00000225697/ENSG00000187678/ENSG00000137275/ENSG00000101311/ENSG00000108840/ENSG00000221926/ENSG00000117139/ENSG00000121671/ENSG00000140443/ENSG00000160999/ENSG00000124181/ENSG00000137218/ENSG00000132906/ENSG00000169047/ENSG00000102804/ENSG00000136869/ENSG00000136044/ENSG00000123358/ENSG00000116285/ENSG00000046651/ENSG00000173175/ENSG00000157613/ENSG00000136826/ENSG00000198742/ENSG00000106070/ENSG00000077782/ENSG00000119508/ENSG00000213626/ENSG00000099822/ENSG00000153234/ENSG00000170145/ENSG00000157005
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	272	-0.330387253045667	-1.65971886721057	3.16493977540511e-05	0.0123964540994802	0.0117437355276885	996	tags=42%, list=27%, signal=33%	ENSG00000198551/ENSG00000172059/ENSG00000105516/ENSG00000135111/ENSG00000139352/ENSG00000171056/ENSG00000228623/ENSG00000148737/ENSG00000120738/ENSG00000101216/ENSG00000147862/ENSG00000197124/ENSG00000185697/ENSG00000164651/ENSG00000152926/ENSG00000178573/ENSG00000184271/ENSG00000177125/ENSG00000007545/ENSG00000090612/ENSG00000120784/ENSG00000198538/ENSG00000187815/ENSG00000121413/ENSG00000160908/ENSG00000175322/ENSG00000167981/ENSG00000172819/ENSG00000130803/ENSG00000173875/ENSG00000089335/ENSG00000148143/ENSG00000102908/ENSG00000121068/ENSG00000128000/ENSG00000163909/ENSG00000152454/ENSG00000113916/ENSG00000134954/ENSG00000170949/ENSG00000198185/ENSG00000175213/ENSG00000103241/ENSG00000177463/ENSG00000171606/ENSG00000162772/ENSG00000140526/ENSG00000171817/ENSG00000186300/ENSG00000182986/ENSG00000188283/ENSG00000123933/ENSG00000167637/ENSG00000198026/ENSG00000119866/ENSG00000188868/ENSG00000181827/ENSG00000116016/ENSG00000124440/ENSG00000170345/ENSG00000130818/ENSG00000196793/ENSG00000143171/ENSG00000125520/ENSG00000101544/ENSG00000198914/ENSG00000116819/ENSG00000172733/ENSG00000269343/ENSG00000174576/ENSG00000075426/ENSG00000204604/ENSG00000234444/ENSG00000186918/ENSG00000177853/ENSG00000106852/ENSG00000125740/ENSG00000179111/ENSG00000122877/ENSG00000117000/ENSG00000152443/ENSG00000108840/ENSG00000214652/ENSG00000139800/ENSG00000181638/ENSG00000198342/ENSG00000180855/ENSG00000063587/ENSG00000196110/ENSG00000205189/ENSG00000197044/ENSG00000117036/ENSG00000197933/ENSG00000187607/ENSG00000273274/ENSG00000123358/ENSG00000167766/ENSG00000256463/ENSG00000157613/ENSG00000185122/ENSG00000136826/ENSG00000256223/ENSG00000196263/ENSG00000167785/ENSG00000223547/ENSG00000130844/ENSG00000119508/ENSG00000006704/ENSG00000197054/ENSG00000197857/ENSG00000198105/ENSG00000214029/ENSG00000153234
GOCC_CYTOPLASMIC_REGION	68	0.477643561105708	2.01638346362567	3.99780530455594e-05	0.0136182382124481	0.0129011882459805	519	tags=40%, list=14%, signal=35%	ENSG00000163060/ENSG00000007174/ENSG00000264364/ENSG00000137691/ENSG00000137098/ENSG00000120903/ENSG00000243710/ENSG00000162148/ENSG00000163075/ENSG00000126775/ENSG00000105479/ENSG00000167461/ENSG00000162598/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000196169/ENSG00000197451/ENSG00000165698/ENSG00000205795/ENSG00000068885/ENSG00000143862/ENSG00000167552/ENSG00000112290
HP_SUPERNUMERARY_SPLEENS	24	0.663521053055126	2.23614384628034	5.24119091573006e-05	0.0166634929847444	0.0157860992353077	701	tags=62%, list=19%, signal=51%	ENSG00000007174/ENSG00000164818/ENSG00000137691/ENSG00000164953/ENSG00000163075/ENSG00000105479/ENSG00000141519/ENSG00000205084/ENSG00000156313/ENSG00000152582/ENSG00000127418/ENSG00000179029/ENSG00000104218/ENSG00000270765/ENSG00000114841
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	265	-0.328764423528852	-1.64508645779212	6.45399907391365e-05	0.017293470279369	0.0163829059251198	996	tags=42%, list=27%, signal=33%	ENSG00000198551/ENSG00000172059/ENSG00000105516/ENSG00000135111/ENSG00000139352/ENSG00000171056/ENSG00000228623/ENSG00000148737/ENSG00000120738/ENSG00000101216/ENSG00000103479/ENSG00000132510/ENSG00000147862/ENSG00000197124/ENSG00000185697/ENSG00000164651/ENSG00000152926/ENSG00000178573/ENSG00000184271/ENSG00000177125/ENSG00000120784/ENSG00000198538/ENSG00000187815/ENSG00000121413/ENSG00000160908/ENSG00000175322/ENSG00000167981/ENSG00000159208/ENSG00000172819/ENSG00000130803/ENSG00000173875/ENSG00000089335/ENSG00000102908/ENSG00000121068/ENSG00000128000/ENSG00000163909/ENSG00000179094/ENSG00000152454/ENSG00000113916/ENSG00000094631/ENSG00000134954/ENSG00000170949/ENSG00000198185/ENSG00000175213/ENSG00000103241/ENSG00000177463/ENSG00000171606/ENSG00000187605/ENSG00000162772/ENSG00000116478/ENSG00000171817/ENSG00000186300/ENSG00000182986/ENSG00000188283/ENSG00000123933/ENSG00000167637/ENSG00000198026/ENSG00000119866/ENSG00000188868/ENSG00000181827/ENSG00000116016/ENSG00000124440/ENSG00000170345/ENSG00000130818/ENSG00000196793/ENSG00000143171/ENSG00000125520/ENSG00000198914/ENSG00000116819/ENSG00000172733/ENSG00000269343/ENSG00000174576/ENSG00000075426/ENSG00000204604/ENSG00000234444/ENSG00000186918/ENSG00000106852/ENSG00000125740/ENSG00000179111/ENSG00000122877/ENSG00000114166/ENSG00000152443/ENSG00000108840/ENSG00000214652/ENSG00000139800/ENSG00000181638/ENSG00000198342/ENSG00000180855/ENSG00000063587/ENSG00000196110/ENSG00000205189/ENSG00000197044/ENSG00000117036/ENSG00000197933/ENSG00000187607/ENSG00000123358/ENSG00000167766/ENSG00000157613/ENSG00000185122/ENSG00000136826/ENSG00000256223/ENSG00000196263/ENSG00000167785/ENSG00000223547/ENSG00000130844/ENSG00000119508/ENSG00000006704/ENSG00000197054/ENSG00000197857/ENSG00000198105/ENSG00000214029/ENSG00000153234
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	242	-0.332234062782493	-1.64122243800788	6.52720622832128e-05	0.017293470279369	0.0163829059251198	667	tags=29%, list=18%, signal=26%	ENSG00000084754/ENSG00000162430/ENSG00000108819/ENSG00000130766/ENSG00000174233/ENSG00000181856/ENSG00000069431/ENSG00000079215/ENSG00000160691/ENSG00000139644/ENSG00000196924/ENSG00000004799/ENSG00000198727/ENSG00000024048/ENSG00000124253/ENSG00000120129/ENSG00000159346/ENSG00000118507/ENSG00000125931/ENSG00000110090/ENSG00000170345/ENSG00000100600/ENSG00000242252/ENSG00000239282/ENSG00000148730/ENSG00000103319/ENSG00000130513/ENSG00000125633/ENSG00000087460/ENSG00000137154/ENSG00000204463/ENSG00000185920/ENSG00000075426/ENSG00000175445/ENSG00000125740/ENSG00000105409/ENSG00000187486/ENSG00000114166/ENSG00000145708/ENSG00000150551/ENSG00000225697/ENSG00000108840/ENSG00000221926/ENSG00000121671/ENSG00000140443/ENSG00000160999/ENSG00000169860/ENSG00000127022/ENSG00000132906/ENSG00000169047/ENSG00000188906/ENSG00000138794/ENSG00000136869/ENSG00000136044/ENSG00000123358/ENSG00000116285/ENSG00000173175/ENSG00000185122/ENSG00000159899/ENSG00000136826/ENSG00000106070/ENSG00000169676/ENSG00000113194/ENSG00000119508/ENSG00000101204/ENSG00000143630/ENSG00000130529/ENSG00000178445/ENSG00000099822/ENSG00000153234/ENSG00000170145
GOBP_LIPID_METABOLIC_PROCESS	246	-0.327764863275266	-1.6235714656065	5.93141984016086e-05	0.017293470279369	0.0163829059251198	991	tags=40%, list=27%, signal=32%	ENSG00000166819/ENSG00000136699/ENSG00000130164/ENSG00000129925/ENSG00000198754/ENSG00000123179/ENSG00000120738/ENSG00000123130/ENSG00000196689/ENSG00000089163/ENSG00000123384/ENSG00000133935/ENSG00000135052/ENSG00000085719/ENSG00000167315/ENSG00000110721/ENSG00000187134/ENSG00000162836/ENSG00000067064/ENSG00000221968/ENSG00000187815/ENSG00000116906/ENSG00000084207/ENSG00000130304/ENSG00000117598/ENSG00000134716/ENSG00000095321/ENSG00000163344/ENSG00000187091/ENSG00000132793/ENSG00000035115/ENSG00000113161/ENSG00000154265/ENSG00000163659/ENSG00000084754/ENSG00000167103/ENSG00000006025/ENSG00000130766/ENSG00000140526/ENSG00000069431/ENSG00000106617/ENSG00000203805/ENSG00000105499/ENSG00000004799/ENSG00000197093/ENSG00000168477/ENSG00000124253/ENSG00000157106/ENSG00000159346/ENSG00000110090/ENSG00000068383/ENSG00000100600/ENSG00000242252/ENSG00000139410/ENSG00000185133/ENSG00000133422/ENSG00000170522/ENSG00000159348/ENSG00000100439/ENSG00000120437/ENSG00000108389/ENSG00000130513/ENSG00000064687/ENSG00000125633/ENSG00000147535/ENSG00000060982/ENSG00000175445/ENSG00000142871/ENSG00000132326/ENSG00000070610/ENSG00000143554/ENSG00000136840/ENSG00000155016/ENSG00000100243/ENSG00000168792/ENSG00000143819/ENSG00000114166/ENSG00000204386/ENSG00000105552/ENSG00000077044/ENSG00000166340/ENSG00000175066/ENSG00000124181/ENSG00000277161/ENSG00000214456/ENSG00000169047/ENSG00000132196/ENSG00000110697/ENSG00000198825/ENSG00000115361/ENSG00000063176/ENSG00000136044/ENSG00000116285/ENSG00000116761/ENSG00000158850/ENSG00000077782/ENSG00000143845/ENSG00000115556/ENSG00000162630
HP_WHEEZING	14	0.754853454993239	2.15356586563202	8.11917325296004e-05	0.0199971045554005	0.0189441839846771	290	tags=71%, list=8%, signal=66%	ENSG00000197249/ENSG00000007174/ENSG00000164818/ENSG00000137691/ENSG00000161513/ENSG00000163075/ENSG00000105479/ENSG00000141519/ENSG00000156313/ENSG00000152582
GOBP_AXONEME_ASSEMBLY	15	0.731540357585026	2.14530967800344	8.38628834363618e-05	0.0199971045554005	0.0189441839846771	356	tags=67%, list=10%, signal=60%	ENSG00000164818/ENSG00000141294/ENSG00000160401/ENSG00000066185/ENSG00000243710/ENSG00000105479/ENSG00000141519/ENSG00000272514/ENSG00000152582/ENSG00000165698
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS	32	-0.585577012415709	-2.05239231117773	0.000114154112289234	0.025923855309874	0.0245588696714482	516	tags=53%, list=14%, signal=46%	ENSG00000179094/ENSG00000069431/ENSG00000120129/ENSG00000118507/ENSG00000125931/ENSG00000170345/ENSG00000103319/ENSG00000125740/ENSG00000187486/ENSG00000145708/ENSG00000225697/ENSG00000169860/ENSG00000116285/ENSG00000159899/ENSG00000143630/ENSG00000130529/ENSG00000099822
GOBP_SPERM_FLAGELLUM_ASSEMBLY	13	0.753425053092175	2.11916678554949	0.000119799931191435	0.0259693578114524	0.0246019763001741	290	tags=62%, list=8%, signal=57%	ENSG00000141294/ENSG00000160401/ENSG00000066185/ENSG00000167645/ENSG00000243710/ENSG00000272514/ENSG00000136449/ENSG00000152582
GOBP_RESPONSE_TO_HORMONE	203	-0.340432527662812	-1.65505121330723	0.000128865394083372	0.0267199593210262	0.0253130558995805	803	tags=34%, list=22%, signal=29%	ENSG00000004478/ENSG00000172819/ENSG00000130304/ENSG00000104332/ENSG00000121068/ENSG00000168646/ENSG00000163909/ENSG00000132793/ENSG00000179094/ENSG00000159388/ENSG00000094631/ENSG00000160310/ENSG00000196843/ENSG00000084754/ENSG00000108819/ENSG00000204388/ENSG00000130766/ENSG00000140526/ENSG00000100234/ENSG00000174233/ENSG00000181856/ENSG00000116478/ENSG00000069431/ENSG00000164104/ENSG00000160691/ENSG00000004799/ENSG00000198727/ENSG00000124253/ENSG00000120129/ENSG00000159346/ENSG00000125931/ENSG00000157150/ENSG00000170345/ENSG00000242252/ENSG00000143171/ENSG00000148730/ENSG00000103319/ENSG00000130513/ENSG00000006128/ENSG00000087460/ENSG00000137154/ENSG00000174576/ENSG00000075426/ENSG00000125740/ENSG00000204389/ENSG00000105409/ENSG00000114166/ENSG00000145708/ENSG00000225697/ENSG00000108840/ENSG00000221926/ENSG00000121671/ENSG00000140443/ENSG00000160999/ENSG00000110492/ENSG00000132906/ENSG00000169047/ENSG00000136044/ENSG00000123358/ENSG00000116285/ENSG00000173175/ENSG00000159899/ENSG00000136826/ENSG00000106070/ENSG00000119508/ENSG00000213626/ENSG00000099822/ENSG00000153234/ENSG00000170145/ENSG00000157005
GOBP_CILIUM_ORGANIZATION	88	0.417450199396795	1.84486199694174	0.00014083282617256	0.0279846561673725	0.0265111618391503	356	tags=31%, list=10%, signal=28%	ENSG00000010361/ENSG00000100211/ENSG00000163060/ENSG00000189306/ENSG00000164818/ENSG00000264364/ENSG00000118096/ENSG00000141294/ENSG00000160401/ENSG00000066185/ENSG00000167645/ENSG00000243710/ENSG00000164953/ENSG00000163075/ENSG00000105479/ENSG00000167461/ENSG00000141519/ENSG00000272514/ENSG00000205084/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000152582/ENSG00000196169/ENSG00000079974/ENSG00000169221/ENSG00000165698
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	25	-0.62894506538516	-2.06329369286104	0.000148634517039344	0.0283535204704253	0.0268606040898048	511	tags=44%, list=14%, signal=38%	ENSG00000159346/ENSG00000116016/ENSG00000170522/ENSG00000087460/ENSG00000132326/ENSG00000140443/ENSG00000181773/ENSG00000115361/ENSG00000136044/ENSG00000185122/ENSG00000106070
GOBP_DEFENSE_RESPONSE_TO_VIRUS	75	0.427096494251104	1.8287097653962	0.000165834813628136	0.0304179317766378	0.0288163166029134	852	tags=39%, list=23%, signal=30%	ENSG00000119917/ENSG00000108187/ENSG00000124201/ENSG00000171552/ENSG00000127666/ENSG00000126775/ENSG00000187608/ENSG00000006062/ENSG00000138755/ENSG00000239839/ENSG00000168209/ENSG00000169385/ENSG00000178896/ENSG00000140464/ENSG00000159128/ENSG00000128394/ENSG00000225830/ENSG00000115267/ENSG00000104228/ENSG00000119242/ENSG00000164251/ENSG00000169245/ENSG00000181481/ENSG00000168495/ENSG00000197471/ENSG00000102103/ENSG00000184979/ENSG00000188313/ENSG00000138496
